Knr,Kommunenavn,Tid,Gruppe,Forbruk (kWh),Antall målere
4012,Bamble,2020-12-31 23:00:00+00:00,Husholdninger,19610.887,8750.0
4012,Bamble,2020-12-31 23:00:00+00:00,Industri,173179.77,202.0
4012,Bamble,2020-12-31 23:00:00+00:00,Næring (unntatt industri),6580.845,633.0
4016,Drangedal,2020-12-31 23:00:00+00:00,Husholdninger,7269.104,3253.0
4016,Drangedal,2020-12-31 23:00:00+00:00,Industri,493.285,145.0
4016,Drangedal,2020-12-31 23:00:00+00:00,Næring (unntatt industri),1607.501,291.0
4032,Fyresdal,2020-12-31 23:00:00+00:00,Husholdninger,2450.553,1334.0
4032,Fyresdal,2020-12-31 23:00:00+00:00,Industri,501.007,73.0
4032,Fyresdal,2020-12-31 23:00:00+00:00,Næring (unntatt industri),725.509,121.0
4024,Hjartdal,2020-12-31 23:00:00+00:00,Husholdninger,4924.121,2396.0
4024,Hjartdal,2020-12-31 23:00:00+00:00,Industri,300.921,92.0
4024,Hjartdal,2020-12-31 23:00:00+00:00,Næring (unntatt industri),890.731,144.0
4014,Kragerø,2020-12-31 23:00:00+00:00,Husholdninger,16028.687,8728.0
4014,Kragerø,2020-12-31 23:00:00+00:00,Industri,4717.621,312.0
4014,Kragerø,2020-12-31 23:00:00+00:00,Næring (unntatt industri),5374.093,941.0
4028,Kviteseid,2020-12-31 23:00:00+00:00,Husholdninger,5612.347,2446.0
4028,Kviteseid,2020-12-31 23:00:00+00:00,Industri,475.578,126.0
4028,Kviteseid,2020-12-31 23:00:00+00:00,Næring (unntatt industri),1764.778,199.0
4020,Midt-Telemark,2020-12-31 23:00:00+00:00,Husholdninger,13906.629,5736.0
4020,Midt-Telemark,2020-12-31 23:00:00+00:00,Industri,1741.262,257.0
4020,Midt-Telemark,2020-12-31 23:00:00+00:00,Næring (unntatt industri),5086.181,643.0
4030,Nissedal,2020-12-31 23:00:00+00:00,Husholdninger,5517.436,2534.0
4030,Nissedal,2020-12-31 23:00:00+00:00,Industri,429.276,170.0
4030,Nissedal,2020-12-31 23:00:00+00:00,Næring (unntatt industri),823.679,146.0
4018,Nome,2020-12-31 23:00:00+00:00,Husholdninger,8851.948,3592.0
4018,Nome,2020-12-31 23:00:00+00:00,Industri,1790.039,110.0
4018,Nome,2020-12-31 23:00:00+00:00,Næring (unntatt industri),2433.601,368.0
4005,Notodden,2020-12-31 23:00:00+00:00,Husholdninger,17736.73,7078.0
4005,Notodden,2020-12-31 23:00:00+00:00,Industri,2444.203,221.0
4005,Notodden,2020-12-31 23:00:00+00:00,Næring (unntatt industri),7830.312,836.0
4001,Porsgrunn,2020-12-31 23:00:00+00:00,Husholdninger,44184.164,18813.0
4001,Porsgrunn,2020-12-31 23:00:00+00:00,Industri,254659.25,600.0
4001,Porsgrunn,2020-12-31 23:00:00+00:00,Næring (unntatt industri),16312.692,1537.0
4022,Seljord,2020-12-31 23:00:00+00:00,Husholdninger,4987.151,2159.0
4022,Seljord,2020-12-31 23:00:00+00:00,Industri,453.748,127.0
4022,Seljord,2020-12-31 23:00:00+00:00,Næring (unntatt industri),2177.968,288.0
4010,Siljan,2020-12-31 23:00:00+00:00,Husholdninger,3000.921,1234.0
4010,Siljan,2020-12-31 23:00:00+00:00,Industri,265.829,45.0
4010,Siljan,2020-12-31 23:00:00+00:00,Næring (unntatt industri),642.08,73.0
4003,Skien,2020-12-31 23:00:00+00:00,Husholdninger,63470.668,26881.0
4003,Skien,2020-12-31 23:00:00+00:00,Industri,6215.039,578.0
4003,Skien,2020-12-31 23:00:00+00:00,Næring (unntatt industri),27461.041,2208.0
4026,Tinn,2020-12-31 23:00:00+00:00,Husholdninger,15291.738,6896.0
4026,Tinn,2020-12-31 23:00:00+00:00,Industri,15462.351,269.0
4026,Tinn,2020-12-31 23:00:00+00:00,Næring (unntatt industri),7301.256,647.0
4034,Tokke,2020-12-31 23:00:00+00:00,Husholdninger,3980.938,1744.0
4034,Tokke,2020-12-31 23:00:00+00:00,Industri,535.775,192.0
4034,Tokke,2020-12-31 23:00:00+00:00,Næring (unntatt industri),1542.498,248.0
4036,Vinje,2020-12-31 23:00:00+00:00,Husholdninger,18280.643,7102.0
4036,Vinje,2020-12-31 23:00:00+00:00,Industri,1237.962,239.0
4036,Vinje,2020-12-31 23:00:00+00:00,Næring (unntatt industri),4615.922,484.0
