Kraftverk,Kommune,Produksjon oppstart,Årlig produksjon (1991-2020)
Bergesåi,Fyresdal,2022,10.541
Berlifoss,Nissedal,1958,56.327
Bestul,Skien,2015,-2.821
Bjordalen,Hjartdal,1960,9.032
Bjordøla,Hjartdal,2005,0.31
Bjoråi,Fyresdal,2005,0.181
Bjørnstadåi,Fyresdal,2025,4.5
Buvasselva,Drangedal,2023,3.6
Byrte,Tokke,1969,121.475
Dalsfos Øst,Kragerø,1907,35.514
Deilbekken,Drangedal,2005,0.112
Dynjanfoss,Nissedal,1951,176.651
Eidet,Skien,1960,15.945
Eidsfoss,Nome,1964,79.861
Finndøla,Fyresdal,1972,296.525
Fjellet,Skien,2015,11.363
Fjone,Nissedal,1970,128.707
Flatlandsåi,Kviteseid,2006,4.88
Flittig,Skien,1962,39.105
Follsjå,Notodden,2015,12.173
Fossum,Skien,1908,4.479
Frøvik Gård,Kragerø,1996,0.038
Frøystul,Tinn,1995,216.189
Gausbu,Tokke,1996,44.021
Gjuvåa,Hjartdal,2021,14.599
Godal,Skien,2015,1.163
Grunnåi,Seljord,2006,59.761
Grytåi,Nissedal,2012,3.037
Grønvollfoss,Notodden,1933,172.509
Haukeli,Vinje,1957,34.776
Haukrei,Fyresdal,1992,44.967
Heggtveit,Fyresdal,2015,3.436
Heiåi,Kviteseid,2008,1.209
Heiåi,Seljord,2012,7.577
Helle Bruk,Kragerø,1945,1.063
Hjartdøla,Hjartdal,1958,448.303
Hogga,Nome,1987,82.083
Hogstad,Siljan,1913,37.026
Holdal,Vinje,2012,2.673
Holt,Skien,2023,5.0
Hovuduk,Seljord,2003,1.406
Husvollåe,Tinn,2022,19.541
Høgefoss,Nissedal,1919,177.759
Juvet,Fyresdal,2002,1.399
Kammerfoss,Kragerø,1958,9.494
Kiste,Siljan,1917,20.175
Kjela,Vinje,1979,236.595
Klosterfoss,Skien,1969,68.254
Kvennhusåi,Seljord,1999,3.029
Kvernhusfossen,Kragerø,1993,0.027
Kvitingen,Midt-Telemark,1926,1.515
Kvitåi,Tinn,2019,6.244
Kvåmm,Vinje,2003,0.052
Langfoss,Kragerø,1955,11.717
Lauvstad,Drangedal,2022,6.568
Lio,Tokke,1969,266.18
Middøla,Tinn,2015,8.347
Mjella,Notodden,2007,1.032
Mo,Skien,1908,16.345
Moe,Bamble,1995,0.031
Moflåt,Tinn,1954,186.96
Momrak,Fyresdal,2011,3.002
Mydalen,Hjartdal,1959,25.75
Mæl,Tinn,1957,231.752
Mærdalsåi,Kviteseid,2008,1.0
Mår,Tinn,1948,1146.08
Nape,Fyresdal,2013,8.724
Naurak,Nissedal,2000,0.674
Nedre Urdalen,Tinn,2017,1.575
Nisserdam,Nissedal,1985,10.355
Nordbøåna,Nissedal,2012,3.485
Nye Gjøv,Fyresdal,2023,4.47
Nye Suvdøla,Drangedal,2019,41.108
Nørsteteig,Seljord,2006,0.35
Osen,Kviteseid,1954,81.79
Oterholtfoss,Midt-Telemark,1932,5.048
Reiersdalen,Drangedal,1996,0.02
Reinstaul,Seljord,1996,0.077
Rekåa,Notodden,2009,1.683
Rolleivstadvatn,Fyresdal,1969,-2.628
Sagabekken 1,Seljord,2006,1.281
Sagabekken 2,Seljord,2009,0.887
Sagabekken 3,Seljord,2009,0.461
Sagfossen,Siljan,1988,3.101
Skjeggfoss,Drangedal,2024,5.6
Skogbuåna,Nissedal,2002,1.987
Skotfoss,Skien,1953,161.774
Skree,Fyresdal,1995,39.458
Slettevann,Skien,1975,2.965
Smørklepp I,Vinje,1982,1.623
Smørklepp II,Vinje,1999,1.839
Soks,Fyresdal,2009,5.111
Songa,Vinje,1964,619.461
Stegaros,Tinn,2002,10.571
Strand I,Hjartdal,2008,0.014
Straumstøyl,Vinje,2006,0.788
Sundsbarm,Seljord,1970,396.437
Suvdal (Buvasselva),Drangedal,2004,4.705
Suvdal (Kleppsvatn),Drangedal,2004,5.199
Svelgfoss,Notodden,1958,563.691
Søråi (Momrak),Fyresdal,2000,0.104
Såheim,Tinn,1915,1121.36
Tinfos I,Notodden,1955,219.855
Tinfos II,Notodden,1912,21.236
Tinnkraft,Tinn,2008,6.261
Tjønnefoss,Nissedal,1966,39.872
Tokke,Tokke,1961,2396.042
Toklev,Siljan,1921,19.992
Trollkraft,Vinje,2001,0.837
Trontveitåna,Nissedal,2019,3.816
Tuddal,Hjartdal,2011,3.674
Tveiten,Seljord,2004,0.169
Tveitereidfoss,Kragerø,1955,13.675
Ulefoss,Nome,1963,45.539
Uvdal,Midt-Telemark,1993,0.121
Vafos,Kragerø,1954,24.018
Vemork,Tinn,1971,1280.288
Vesle Kjela,Vinje,2021,34.473
Vinje,Vinje,1964,1105.342
Vrangfoss,Nome,1962,200.295
Aall-Ulefoss,Nome,1948,30.286
Åmdal,Tokke,1953,150.758
Åmot,Skien,2012,8.93
Åmotsfoss,Nissedal,2021,22.397
Årlifoss,Notodden,1915,131.136
Aas,Skien,1908,6.204
